user_id,age,gender,income,profession,location,education_level,marital_status
377592024,32,male,79400,Healthcare,Rural,Master's,Married
430276841,46,male,67110,Technology,Urban,Some College,Divorced
457789173,31,male,82024,Finance,Suburban,High School,Divorced
460216566,41,female,101099,Retail,Urban,High School,Married
468703624,40,female,85811,Healthcare,Suburban,Bachelor's,Married
479482770,29,female,52941,Finance,Urban,Bachelor's,Single
483772068,42,female,46410,Education,Suburban,Bachelor's,Married
486108415,29,female,68675,Finance,Urban,Master's,Single
486111696,44,male,67278,Technology,Suburban,PhD+,Married
497146021,41,female,68554,Healthcare,Urban,Master's,Married
499386220,43,female,83315,Technology,Urban,High School,Divorced
500062464,50,female,88441,Healthcare,Suburban,Bachelor's,Married
501980918,41,male,105838,Education,Urban,PhD+,Married
502541543,43,male,50813,Services,Rural,Some College,Divorced
504420226,38,female,75842,Technology,Urban,High School,Married
512363624,37,male,88256,Education,Urban,PhD+,Married
512363650,34,female,85838,Healthcare,Suburban,Some College,Married
512363729,26,male,40525,Technology,Rural,Master's,Single
512364002,42,female,59155,Technology,Suburban,Master's,Married
512364023,49,male,103649,Finance,Urban,Bachelor's,Single
512364033,39,male,50820,Manufacturing,Suburban,High School,Single
512364466,45,female,97183,Healthcare,Urban,Master's,Married
512364888,42,female,78783,Manufacturing,Suburban,High School,Married
512364960,35,male,43330,Retail,Urban,Bachelor's,Married
512365270,36,female,81482,Education,Urban,Some College,Single
512365731,40,female,89788,Technology,Suburban,Bachelor's,Married
512365769,38,male,50990,Manufacturing,Urban,Some College,Married
512365995,40,male,52264,Healthcare,Urban,Bachelor's,Married
512365996,38,male,40689,Services,Suburban,Some College,Divorced
512366036,43,female,100247,Finance,Urban,PhD+,Married
512366835,43,female,37132,Manufacturing,Rural,High School,Single
512367088,44,female,75182,Healthcare,Urban,Master's,Divorced
512367394,28,female,101133,Technology,Urban,Bachelor's,Single
512367687,42,male,39431,Healthcare,Urban,PhD+,Married
512368482,52,male,99645,Education,Suburban,Master's,Widowed
512369008,42,male,95529,Services,Urban,Some College,Married
512369878,40,male,99515,Healthcare,Urban,Master's,Married
512370768,39,male,60425,Technology,Urban,PhD+,Married
512371105,24,male,45657,Technology,Urban,PhD+,Single
512371555,35,female,68686,Finance,Suburban,Bachelor's,Married
512371887,30,female,90766,Healthcare,Suburban,Master's,Married
512372070,46,female,75315,Technology,Suburban,Bachelor's,Married
512372338,42,male,54301,Technology,Urban,Master's,Single
512372649,39,female,86248,Education,Urban,Master's,Married
512372673,58,male,78106,Finance,Urban,PhD+,Married
